code,year,jiscode,region,city_category,pop,finance_index,expenditure,expenditure_social_welfare,lfp_male,lfp_female,olfp_male,oldp_female,lfp_rate_female,expenditure_social_welfare_rate
2015100000 ,2015 ,1100 ,北海道 札幌市,1 ,1952356 ,1 ,8778 ,3879 ,489685 ,403247 ,215570 ,435482 ,0.48078 ,0.44190 
2015100000 ,2015 ,1202 ,北海道 函館市,2 ,265979 ,0 ,1375 ,591 ,66690 ,56986 ,34217 ,69336 ,0.45112 ,0.42997 
2015100000 ,2015 ,1203 ,北海道 小樽市,2 ,121924 ,0 ,569 ,248 ,29314 ,25083 ,18733 ,35195 ,0.41612 ,0.43578 
2015100000 ,2015 ,1204 ,北海道 旭川市,2 ,339605 ,0 ,1573 ,716 ,87034 ,73048 ,43521 ,84988 ,0.46222 ,0.45501 
2015100000 ,2015 ,1205 ,北海道 室蘭市,2 ,88564 ,1 ,456 ,172 ,23418 ,15825 ,13467 ,23947 ,0.39789 ,0.37714 
2015100000 ,2015 ,1206 ,北海道 釧路市,2 ,174742 ,0 ,965 ,368 ,43784 ,34604 ,23208 ,42953 ,0.44618 ,0.38088 
2015100000 ,2015 ,1207 ,北海道 帯広市,2 ,169327 ,1 ,826 ,302 ,45895 ,37082 ,19135 ,36583 ,0.50339 ,0.36571 
2015100000 ,2015 ,1208 ,北海道 北見市,2 ,121226 ,0 ,725 ,211 ,32427 ,25847 ,14556 ,26993 ,0.48916 ,0.29125 
2015100000 ,2015 ,1209 ,北海道 夕張市,2 ,8843 ,0 ,110 ,22 ,2207 ,1731 ,1638 ,2757 ,0.38570 ,0.20254 
2015100000 ,2015 ,1210 ,北海道 岩見沢市,2 ,84499 ,0 ,469 ,149 ,22106 ,17701 ,11532 ,22015 ,0.44569 ,0.31854 
2015100000 ,2015 ,1211 ,北海道 網走市,2 ,39077 ,0 ,237 ,63 ,10635 ,7971 ,6004 ,8468 ,0.48488 ,0.26425 
2015100000 ,2015 ,1212 ,北海道 留萌市,2 ,22221 ,0 ,137 ,37 ,6539 ,4808 ,2798 ,5690 ,0.45799 ,0.26584 
2015100000 ,2015 ,1213 ,北海道 苫小牧市,2 ,172737 ,1 ,793 ,308 ,47332 ,32885 ,19148 ,38992 ,0.45752 ,0.38840 
2015100000 ,2015 ,1214 ,北海道 稚内市,2 ,36380 ,0 ,239 ,58 ,10539 ,7276 ,3722 ,7840 ,0.48134 ,0.24174 
2015100000 ,2015 ,1215 ,北海道 美唄市,2 ,23035 ,0 ,174 ,52 ,5902 ,4660 ,3640 ,6551 ,0.41566 ,0.30098 
2015100000 ,2015 ,1216 ,北海道 芦別市,2 ,14676 ,0 ,123 ,30 ,3499 ,2981 ,2552 ,4454 ,0.40094 ,0.24574 
2015100000 ,2015 ,1217 ,北海道 江別市,2 ,120636 ,1 ,466 ,164 ,31355 ,24402 ,17098 ,30468 ,0.44472 ,0.35122 
2015100000 ,2015 ,1218 ,北海道 赤平市,2 ,11105 ,0 ,94 ,26 ,2550 ,2192 ,2021 ,3450 ,0.38851 ,0.27630 
2015100000 ,2015 ,1219 ,北海道 紋別市,2 ,23109 ,0 ,174 ,43 ,6468 ,5200 ,2670 ,5473 ,0.48721 ,0.24957 
2015100000 ,2015 ,1220 ,北海道 士別市,2 ,19914 ,0 ,186 ,39 ,5507 ,4313 ,2663 ,5110 ,0.45771 ,0.20851 
2015100000 ,2015 ,1221 ,北海道 名寄市,2 ,29048 ,0 ,231 ,46 ,8599 ,6229 ,3390 ,6742 ,0.48023 ,0.20043 
2015100000 ,2015 ,1222 ,北海道 三笠市,2 ,9076 ,0 ,103 ,25 ,2074 ,1573 ,1653 ,3066 ,0.33908 ,0.23879 
2015100000 ,2015 ,1223 ,北海道 根室市,2 ,26917 ,0 ,191 ,46 ,8119 ,6299 ,2863 ,6044 ,0.51033 ,0.24071 
2015100000 ,2015 ,1224 ,北海道 千歳市,2 ,95648 ,1 ,363 ,124 ,29116 ,18832 ,9992 ,19649 ,0.48938 ,0.34179 
2015100000 ,2015 ,1225 ,北海道 滝川市,2 ,41192 ,0 ,216 ,66 ,10959 ,8651 ,5380 ,10371 ,0.45479 ,0.30620 
2015100000 ,2015 ,1226 ,北海道 砂川市,2 ,17694 ,0 ,123 ,30 ,4425 ,3639 ,2697 ,4747 ,0.43394 ,0.24392 
2015100000 ,2015 ,1227 ,北海道 歌志内市,2 ,3585 ,0 ,45 ,11 ,818 ,603 ,712 ,1235 ,0.32807 ,0.24558 
2015100000 ,2015 ,1228 ,北海道 深川市,2 ,21909 ,0 ,181 ,40 ,5572 ,4728 ,3452 ,5962 ,0.44228 ,0.22105 
2015100000 ,2015 ,1229 ,北海道 富良野市,2 ,22936 ,0 ,124 ,39 ,6640 ,5637 ,2596 ,5002 ,0.52984 ,0.31528 
2015100000 ,2015 ,1230 ,北海道 登別市,2 ,49625 ,0 ,202 ,77 ,12751 ,9526 ,7138 ,13108 ,0.42087 ,0.38138 
2015100000 ,2015 ,1231 ,北海道 恵庭市,2 ,69702 ,1 ,260 ,88 ,19243 ,13992 ,8724 ,16343 ,0.46125 ,0.33924 
2015100000 ,2015 ,1233 ,北海道 伊達市,2 ,34995 ,0 ,173 ,62 ,9132 ,7758 ,5026 ,9005 ,0.46280 ,0.35900 
2015100000 ,2015 ,1234 ,北海道 北広島市,2 ,59064 ,1 ,233 ,86 ,15614 ,11845 ,8180 ,14751 ,0.44537 ,0.36801 
2015100000 ,2015 ,1235 ,北海道 石狩市,2 ,57436 ,1 ,301 ,92 ,15621 ,11761 ,7128 ,13488 ,0.46580 ,0.30595 
2015100000 ,2015 ,1236 ,北海道 北斗市,2 ,46390 ,0 ,209 ,85 ,12412 ,10475 ,5406 ,10621 ,0.49654 ,0.40613 
2015100000 ,2015 ,1303 ,北海道 当別町,3 ,17278 ,0 ,107 ,23 ,4905 ,3708 ,2372 ,4332 ,0.46119 ,0.21102 
2015100000 ,2015 ,1304 ,北海道 新篠津村,3 ,3329 ,0 ,36 ,6 ,863 ,728 ,523 ,780 ,0.48276 ,0.16851 
2015100000 ,2015 ,1331 ,北海道 松前町,3 ,7337 ,0 ,57 ,12 ,1801 ,1580 ,1197 ,2210 ,0.41689 ,0.20951 
2015100000 ,2015 ,1332 ,北海道 福島町,3 ,4422 ,0 ,41 ,10 ,1155 ,887 ,742 ,1307 ,0.40428 ,0.25122 
2015100000 ,2015 ,1333 ,北海道 知内町,3 ,4653 ,0 ,45 ,6 ,1474 ,1065 ,570 ,1036 ,0.50690 ,0.12889 
2015100000 ,2015 ,1334 ,北海道 木古内町,3 ,4547 ,0 ,57 ,8 ,1288 ,885 ,715 ,1352 ,0.39562 ,0.14311 
2015100000 ,2015 ,1337 ,北海道 七飯町,3 ,28120 ,0 ,120 ,34 ,7134 ,6066 ,3777 ,7377 ,0.45124 ,0.28453 
2015100000 ,2015 ,1343 ,北海道 鹿部町,3 ,4226 ,0 ,30 ,6 ,1171 ,937 ,668 ,1027 ,0.47709 ,0.20199 
2015100000 ,2015 ,1345 ,北海道 森町,3 ,15946 ,0 ,96 ,25 ,4478 ,3753 ,1912 ,3993 ,0.48451 ,0.26458 
2015100000 ,2015 ,1346 ,北海道 八雲町,3 ,17252 ,0 ,134 ,31 ,5129 ,3769 ,2181 ,4083 ,0.48001 ,0.22829 
2015100000 ,2015 ,1347 ,北海道 長万部町,3 ,5926 ,0 ,49 ,9 ,1518 ,1183 ,1108 ,1606 ,0.42417 ,0.17791 
2015100000 ,2015 ,1361 ,北海道 江差町,3 ,8248 ,0 ,54 ,15 ,2364 ,1682 ,1110 ,2265 ,0.42615 ,0.27491 
2015100000 ,2015 ,1362 ,北海道 上ノ国町,3 ,4876 ,0 ,51 ,9 ,1204 ,1043 ,733 ,1389 ,0.42887 ,0.17624 
2015100000 ,2015 ,1363 ,北海道 厚沢部町,3 ,4049 ,0 ,43 ,8 ,1169 ,965 ,505 ,960 ,0.50130 ,0.18794 
2015100000 ,2015 ,1364 ,北海道 乙部町,3 ,3906 ,0 ,37 ,7 ,1061 ,797 ,540 ,1121 ,0.41554 ,0.17647 
2015100000 ,2015 ,1367 ,北海道 奥尻町,3 ,2690 ,0 ,38 ,4 ,940 ,453 ,294 ,749 ,0.37687 ,0.10133 
2015100000 ,2015 ,1370 ,北海道 今金町,3 ,5628 ,0 ,53 ,12 ,1616 ,1287 ,783 ,1366 ,0.48511 ,0.22624 
2015100000 ,2015 ,1371 ,北海道 せたな町,3 ,8473 ,0 ,95 ,17 ,2334 ,1755 ,1215 ,2419 ,0.42046 ,0.17629 
2015100000 ,2015 ,1391 ,北海道 島牧村,3 ,1499 ,0 ,25 ,5 ,441 ,276 ,227 ,431 ,0.39038 ,0.19685 
2015100000 ,2015 ,1392 ,北海道 寿都町,3 ,3137 ,0 ,43 ,6 ,809 ,627 ,549 ,828 ,0.43093 ,0.14085 
2015100000 ,2015 ,1393 ,北海道 黒松内町,3 ,3082 ,0 ,40 ,7 ,764 ,604 ,473 ,885 ,0.40564 ,0.17079 
2015100000 ,2015 ,1394 ,北海道 蘭越町,3 ,4843 ,0 ,61 ,9 ,1420 ,1060 ,644 ,1192 ,0.47069 ,0.14778 
2015100000 ,2015 ,1395 ,北海道 ニセコ町,3 ,4958 ,0 ,45 ,7 ,1540 ,1118 ,530 ,973 ,0.53467 ,0.16481 
2015100000 ,2015 ,1396 ,北海道 真狩村,3 ,2103 ,0 ,33 ,4 ,658 ,505 ,259 ,440 ,0.53439 ,0.12575 
2015100000 ,2015 ,1397 ,北海道 留寿都村,3 ,1907 ,0 ,26 ,5 ,681 ,549 ,143 ,287 ,0.65670 ,0.20690 
2015100000 ,2015 ,1398 ,北海道 喜茂別町,3 ,2294 ,0 ,32 ,6 ,709 ,528 ,335 ,486 ,0.52071 ,0.17391 
2015100000 ,2015 ,1399 ,北海道 京極町,3 ,3187 ,0 ,61 ,6 ,917 ,692 ,403 ,748 ,0.48056 ,0.10214 
2015100000 ,2015 ,1400 ,北海道 倶知安町,3 ,15018 ,0 ,77 ,18 ,4792 ,3273 ,1371 ,2904 ,0.52987 ,0.22997 
2015100000 ,2015 ,1401 ,北海道 共和町,3 ,6224 ,0 ,61 ,10 ,2277 ,1294 ,598 ,1306 ,0.49769 ,0.16941 
2015100000 ,2015 ,1402 ,北海道 岩内町,3 ,13042 ,0 ,75 ,18 ,3755 ,2834 ,1614 ,3296 ,0.46232 ,0.23342 
2015100000 ,2015 ,1403 ,北海道 泊村,3 ,1771 ,2 ,37 ,6 ,580 ,331 ,197 ,467 ,0.41479 ,0.16667 
